Teams,Fixture
"Leicester City FC,Tottenham Hotspur FC",147056
"Leicester City FC,Watford FC",146974
"Leicester City FC,West Bromwich Albion FC",146833
"Liverpool FC,AFC Bournemouth",147116
"Liverpool FC,Aston Villa FC",147018
"Liverpool FC,Chelsea FC",146813
"Liverpool FC,Crystal Palace FC",146975
"Liverpool FC,Everton FC",146838
"Liverpool FC,Leicester City FC",146920
"Liverpool FC,Manchester City FC",146829
"Liverpool FC,Manchester United FC",146884
"Liverpool FC,Newcastle United FC",146768
"Liverpool FC,Norwich City FC",147028
"Liverpool FC,Stoke City FC",146784
"Liverpool FC,Sunderland AFC",146857
"Liverpool FC,Swansea City FC",146957
"Liverpool FC,Tottenham Hotspur FC",146795
"Liverpool FC,Watford FC",146750
"Liverpool FC,West Bromwich Albion FC",146939
"Manchester City FC,AFC Bournemouth",147109
"Manchester City FC,Chelsea FC",147064
"Manchester City FC,Crystal Palace FC",146885
"Manchester City FC,Liverpool FC",146966
"Manchester City FC,Manchester United FC",146804
"Manchester City FC,Newcastle United FC",147013
"Manchester City FC,Norwich City FC",146984
"Manchester City FC,Stoke City FC",146769
"Manchester City FC,Sunderland AFC",146921
"Manchester City FC,Watford FC",147047
"Manchester City FC,West Bromwich Albion FC",146785
"Manchester City FC,West Ham United FC",147029
"Manchester United FC,Arsenal FC",146839
"Manchester United FC,Aston Villa FC",146778
"Manchester United FC,Everton FC",146796
"Manchester United FC,Liverpool FC",147039
"Manchester United FC,Manchester City FC",146994
"Manchester United FC,Newcastle United FC",147057
"Manchester United FC,Norwich City FC",146930
"Manchester United FC,Stoke City FC",146865
"Manchester United FC,Sunderland AFC",147019
"Manchester United FC,Swansea City FC",146903
"Manchester United FC,Tottenham Hotspur FC",147075
"Manchester United FC,Watford FC",146830
"Manchester United FC,West Bromwich Albion FC",146976
"Manchester United FC,West Ham United FC",146947
"Newcastle United FC,AFC Bournemouth",147089
"Newcastle United FC,Arsenal FC",147048
"Newcastle United FC,Aston Villa FC",146931
"Newcastle United FC,Crystal Palace FC",146759
"Newcastle United FC,Everton FC",146922
"Newcastle United FC,Liverpool FC",146948
"Newcastle United FC,Manchester City FC",146840
"Newcastle United FC,Manchester United FC",146894
"Newcastle United FC,Norwich City FC",147002
"Newcastle United FC,Sunderland AFC",146805
"Newcastle United FC,Swansea City FC",146779
"Newcastle United FC,Tottenham Hotspur FC",146741
"Newcastle United FC,Watford FC",147030
"Newcastle United FC,West Bromwich Albion FC",146859
"Newcastle United FC,West Ham United FC",146886
"Norwich City FC,AFC Bournemouth",147113
"Norwich City FC,Leicester City FC",147014
"Norwich City FC,Manchester City FC",146815
"Norwich City FC,Manchester United FC",146752
"Norwich City FC,Sunderland AFC",146780
"Norwich City FC,Swansea City FC",146977
"Norwich City FC,Tottenham Hotspur FC",146869
"Norwich City FC,West Ham United FC",146852
"Southampton FC,Arsenal FC",146923
"Southampton FC,Aston Villa FC",146949
"Southampton FC,Chelsea FC",146841
"Southampton FC,Crystal Palace FC",146742
"Southampton FC,Everton FC",147065
"Southampton FC,Liverpool FC",146806
"Southampton FC,Manchester City FC",146760
"Southampton FC,Norwich City FC",147049
"Southampton FC,Stoke City FC",146968
"Southampton FC,Sunderland AFC",146823
"Southampton FC,Swansea City FC",147021
"Southampton FC,Tottenham Hotspur FC",146932
"Southampton FC,Watford FC",146895
"Southampton FC,West Bromwich Albion FC",146887
"Southampton FC,West Ham United FC",146860
"Stoke City FC,AFC Bournemouth",147111
"Stoke City FC,Arsenal FC",146888
"Stoke City FC,Aston Villa FC",146842
"Stoke City FC,Crystal Palace FC",146933
"Stoke City FC,Everton FC",146861
"Stoke City FC,Leicester City FC",147032
"Stoke City FC,Liverpool FC",147078
"Stoke City FC,Manchester City FC",146950
"Stoke City FC,Manchester United FC",146924
"Stoke City FC,Newcastle United FC",146828
"Stoke City FC,Norwich City FC",146896
"Stoke City FC,Southampton FC",146816
