Teams,Fixture
"AFC Bournemouth,West Bromwich Albion FC",147081
"Everton FC,Arsenal FC",146803
"West Ham United FC,Newcastle United FC",147043
"Newcastle United FC,Stoke City FC",146985
"Southampton FC,Everton FC",147065
"Southampton FC,Newcastle United FC",146786
"Norwich City FC,Newcastle United FC",146797
"Watford FC,Chelsea FC",146871
"Tottenham Hotspur FC,Liverpool FC",147005
"Tottenham Hotspur FC,Crystal Palace FC",147034
"Leicester City FC,Manchester United FC",146956
"Leicester City FC,Newcastle United FC",146812
"Swansea City FC,Newcastle United FC",147067
"Leicester City FC,AFC Bournemouth",147098
"Leicester City FC,Sunderland AFC",147074
"Everton FC,West Ham United FC",146821
"Liverpool FC,West Ham United FC",147046
"Sunderland AFC,Swansea City FC",147059
"Watford FC,Arsenal FC",147006
"Manchester United FC,Leicester City FC",146758
"Manchester United FC,AFC Bournemouth",147080
"West Bromwich Albion FC,Norwich City FC",146809
"AFC Bournemouth,Southampton FC",147090
"Arsenal FC,Watford FC",146792
"Liverpool FC,Southampton FC",146993
"AFC Bournemouth,Crystal Palace FC",147100
"Manchester City FC,Leicester City FC",146858
"Tottenham Hotspur FC,Norwich City FC",146926
"Stoke City FC,Sunderland AFC",146761
"Crystal Palace FC,Norwich City FC",146783
"Watford FC,Manchester City FC",146906
"Leicester City FC,West Ham United FC",146777
"Newcastle United FC,Leicester City FC",146967
"Norwich City FC,Aston Villa FC",146913
"Newcastle United FC,Chelsea FC",147020
"Arsenal FC,Tottenham Hotspur FC",146972
"Watford FC,Norwich City FC",146952
"Crystal Palace FC,Stoke City FC",146748
"Sunderland AFC,Newcastle United FC",146997
"Watford FC,AFC Bournemouth",147091
"Aston Villa FC,Manchester United FC",147062
"Crystal Palace FC,West Bromwich Albion FC",147011
"Norwich City FC,Southampton FC",146904
"Newcastle United FC,Southampton FC",147076
"Sunderland AFC,Leicester City FC",146787
"Liverpool FC,Arsenal FC",146897
"Sunderland AFC,Arsenal FC",146771
"Aston Villa FC,West Bromwich Albion FC",147026
"West Bromwich Albion FC,Chelsea FC",147061
"Everton FC,Manchester United FC",147001
"Manchester United FC,Crystal Palace FC",146814
"Leicester City FC,Liverpool FC",146868
"Norwich City FC,Stoke City FC",147058
"Southampton FC,Leicester City FC",147003
"Norwich City FC,Crystal Palace FC",147077
"Crystal Palace FC,Everton FC",146766
"Manchester United FC,Southampton FC",146877
"Aston Villa FC,Everton FC",146832
"AFC Bournemouth,Leicester City FC",147114
"Watford FC,Southampton FC",147060
"Southampton FC,Manchester United FC",147031
"Crystal Palace FC,AFC Bournemouth",147094
"West Ham United FC,Stoke City FC",146944
"Norwich City FC,West Bromwich Albion FC",146995
"Swansea City FC,Arsenal FC",146986
"Manchester City FC,Swansea City FC",146940
"Aston Villa FC,Sunderland AFC",147044
"Manchester City FC,Aston Villa FC",146822
"Chelsea FC,AFC Bournemouth",147103
"Leicester City FC,Stoke City FC",146876
"Crystal Palace FC,Aston Villa FC",147054
"AFC Bournemouth,Watford FC",147110
"Stoke City FC,Chelsea FC",146978
"Manchester City FC,Southampton FC",146958
"Swansea City FC,Norwich City FC",146824
"Swansea City FC,Liverpool FC",146762
"Norwich City FC,Arsenal FC",146959
"Manchester City FC,Everton FC",146893
"Norwich City FC,Watford FC",146770
"Chelsea FC,West Ham United FC",146801
"Norwich City FC,Liverpool FC",146878
"Norwich City FC,Chelsea FC",146834
"Aston Villa FC,Crystal Palace FC",146898
"AFC Bournemouth,Everton FC",147104
"Tottenham Hotspur FC,West Bromwich Albion FC",146772
"Manchester City FC,Arsenal FC",146751
"Crystal Palace FC,Manchester United FC",146982
"Sunderland AFC,AFC Bournemouth",147095
"West Ham United FC,Aston Villa FC",146872
"Manchester United FC,Chelsea FC",146912
"Arsenal FC,Stoke City FC",147035
"West Ham United FC,Sunderland AFC",146845
"AFC Bournemouth,Newcastle United FC",147106
"Manchester City FC,Tottenham Hotspur FC",146851
"Norwich City FC,Everton FC",146941
"Aston Villa FC,Leicester City FC",146882
"Southampton FC,Swansea City FC",147021
"Swansea City FC,Aston Villa FC",146807
"Watford FC,Aston Villa FC",146763
"Newcastle United FC,Manchester City FC",146840
"Manchester City FC,West Ham United FC",147029
"Chelsea FC,Manchester City FC",146775
"Sunderland AFC,Crystal Palace FC",146835
"Leicester City FC,Arsenal FC",147017
"Everton FC,Newcastle United FC",146864
"Swansea City FC,Watford FC",146889
"Leicester City FC,Watford FC",146974
"Sunderland AFC,Everton FC",146817
"Stoke City FC,Everton FC",146861
"Crystal Palace FC,Sunderland AFC",146964
"Chelsea FC,Sunderland AFC",146928
"Sunderland AFC,Southampton FC",146979
"Arsenal FC,Crystal Palace FC",146774
"West Ham United FC,Everton FC",146980
"Newcastle United FC,West Bromwich Albion FC",146859
"Watford FC,West Bromwich Albion FC",147069
"Stoke City FC,Aston Villa FC",146842
"Aston Villa FC,Liverpool FC",146847
"Sunderland AFC,Chelsea FC",146753
"Manchester City FC,Stoke City FC",146769
"Liverpool FC,Stoke City FC",146784
"Watford FC,Manchester United FC",146970
"Sunderland AFC,Liverpool FC",146914
"Chelsea FC,West Bromwich Albion FC",146892
"Stoke City FC,Leicester City FC",147032
"Manchester United FC,West Ham United FC",146947
"Manchester United FC,West Bromwich Albion FC",146976
