,Club,Location,Coordinates
0,AFC Bournemouth,Bournemouth,"(50.74467035, -1.85798080318094)"
1,Arsenal,London,"(51.5073219, -0.1276473)"
2,Aston Villa,Birmingham,"(52.4776875, -1.8948515)"
3,Barnsley,Barnsley,"(53.5527719, -1.4827754)"
4,Birmingham City,Birmingham,"(52.4776875, -1.8948515)"
5,Blackburn Rovers,Blackburn,"(53.7497193, -2.4797542)"
6,Blackpool,Blackpool,"(53.8245483, -3.03731989502197)"
7,Bolton Wanderers,Bolton,"(53.577694, -2.4288873)"
8,Bradford City,Bradford,"(53.7941567, -1.7494777)"
9,Burnley,Burnley,"(53.7907262, -2.2439195)"
10,Cardiff City,Cardiff,"(51.4816546, -3.1791933)"
11,Charlton Athletic,London,"(51.5073219, -0.1276473)"
12,Chelsea,London,"(51.5073219, -0.1276473)"
13,Coventry City,Coventry,"(52.4081812, -1.5104769)"
14,Crystal Palace,London,"(51.5073219, -0.1276473)"
15,Derby County,Derby,"(52.9212617, -1.476149)"
16,Everton,Liverpool,"(53.4054719, -2.9805391)"
17,Fulham,London,"(51.5073219, -0.1276473)"
18,Hull City,Kingston upon Hull,"(53.7435722, -0.3394757)"
19,Ipswich Town,Ipswich,"(52.0579495, 1.1526345)"
20,Leeds United,Leeds,"(53.7974185, -1.543794)"
21,Leicester City,Leicester,"(52.6367811, -1.1312288)"
22,Liverpool,Liverpool,"(53.4054719, -2.9805391)"
23,Manchester City,Manchester,"(53.4791301, -2.2441008)"
24,Manchester United,Trafford,"(53.4189014, -2.35946945066462)"
25,Middlesbrough,Middlesbrough,"(54.5760419, -1.2344046)"
26,Newcastle United,Newcastle upon Tyne,"(54.9770924, -1.6142058)"
27,Norwich City,Norwich,"(52.628606, 1.29227)"
28,Nottingham Forest,Nottingham,"(52.9534161, -1.1492772)"
29,Oldham Athletic,Oldham,"(53.5415797, -2.114783)"
30,Portsmouth,Portsmouth,"(50.8036831, -1.0756139)"
31,Queens Park Rangers,London,"(51.5073219, -0.1276473)"
32,Reading,Reading,"(51.456659, -0.9696511)"
33,Sheffield United,Sheffield,"(53.3806626, -1.4702277)"
34,Sheffield Wednesday,Sheffield,"(53.3806626, -1.4702277)"
35,Southampton,Southampton,"(50.9025349, -1.4041889)"
36,Stoke City,Stoke-on-Trent,"(53.0162014, -2.1812606)"
37,Sunderland AFC,Sunderland,"(54.9063791, -1.3750529)"
38,Swansea City,Swansea,"(51.6211442, -3.946775)"
39,Swindon Town,Swindon,"(51.5613683, -1.7856852)"
40,Tottenham Hotspur,London,"(51.5073219, -0.1276473)"
41,Watford,Watford,"(51.6553875, -0.3957424)"
42,West Bromwich Albion,West Bromwich,"(52.5186579, -1.9923113)"
43,West Ham United,London,"(51.5073219, -0.1276473)"
44,Wigan Athletic,Wigan,"(53.5457188, -2.6264623)"
45,Wolverhampton Wanderers,Wolverhampton,"(52.5847651, -2.1275669)"
