,Club,Location,Coordinates
0,A.F.C. Bournemouth,Bournemouth,
1,Arsenal,London,
2,Aston Villa,Birmingham,
3,Barnsley,Barnsley,
4,Birmingham City,Birmingham,
5,Blackburn Rovers,Blackburn,
6,Blackpool,Blackpool,
7,Bolton Wanderers,Bolton,
8,Bradford City,Bradford,
9,Burnley,Burnley,
10,Cardiff City,Cardiff,
11,Charlton Athletic,London,
12,Chelsea,London,
13,Coventry City,Coventry,
14,Crystal Palace,London,
15,Derby County,Derby,
16,Everton,Liverpool,
17,Fulham,London,
18,Hull City,Kingston upon Hull,
19,Ipswich Town,Ipswich,
20,Leeds United,Leeds,
21,Leicester City,Leicester,
22,Liverpool,Liverpool,
23,Manchester City,Manchester,
24,Manchester United,Trafford,
25,Middlesbrough,Middlesbrough,
26,Newcastle United,Newcastle upon Tyne,
27,Norwich City,Norwich,
28,Nottingham Forest,Nottingham,
29,Oldham Athletic,Oldham,
30,Portsmouth,Portsmouth,
31,Queens Park Rangers,London,
32,Reading,Reading,
33,Sheffield United,Sheffield,
34,Sheffield Wednesday,Sheffield,
35,Southampton,Southampton,
36,Stoke City,Stoke-on-Trent,
37,Sunderland,Sunderland,
38,Swansea City,Swansea,
39,Swindon Town,Swindon,
40,Tottenham Hotspur,London,
41,Watford,Watford,
42,West Bromwich Albion,West Bromwich,
43,West Ham United,London,
44,Wigan Athletic,Wigan,
45,Wolverhampton Wanderers,Wolverhampton,
