Team,Fixture
"Stoke City FC,Aston Villa FC",147009
"West Bromwich Albion FC,Tottenham Hotspur FC",146772
"West Bromwich Albion FC,Leicester City FC",146833
"Manchester City FC,Chelsea FC",146775
"Stoke City FC,Newcastle United FC",146985
"Manchester City FC,Aston Villa FC",146973
"West Ham United FC,Sunderland AFC",147015
"Tottenham Hotspur FC,Leicester City FC",147056
"Stoke City FC,Crystal Palace FC",146748
"Crystal Palace FC,Chelsea FC",147045
"Swansea City FC,Manchester United FC",146903
"Sunderland AFC,Southampton FC",146823
"Everton FC,Aston Villa FC",146832
"Watford FC,Stoke City FC",146996
"Leicester City FC,Crystal Palace FC",146802
"Liverpool FC,Leicester City FC",146868
"West Bromwich Albion FC,Crystal Palace FC",147011
"West Bromwich Albion FC,Everton FC",146850
"Newcastle United FC,Arsenal FC",146900
"Southampton FC,Manchester City FC",146958
"Manchester City FC,Everton FC",147055
"Sunderland AFC,AFC Bournemouth",147112
"Southampton FC,Chelsea FC",147010
"Southampton FC,Newcastle United FC",147076
"West Ham United FC,Aston Villa FC",146918
"Chelsea FC,Arsenal FC",146873
"Tottenham Hotspur FC,Crystal Palace FC",146874
"Chelsea FC,Aston Villa FC",146793
"Norwich City FC,Manchester City FC",146984
"Watford FC,Crystal Palace FC",146849
"Manchester United FC,AFC Bournemouth",147102
"West Ham United FC,Tottenham Hotspur FC",146969
"Swansea City FC,Newcastle United FC",146779
"Norwich City FC,Chelsea FC",146963
"Swansea City FC,AFC Bournemouth",147088
"Everton FC,Crystal Palace FC",146766
"Swansea City FC,Arsenal FC",146831
"Leicester City FC,Chelsea FC",146739
"Tottenham Hotspur FC,Aston Villa FC",146811
"Chelsea FC,AFC Bournemouth",147083
"Stoke City FC,Liverpool FC",146784
"Norwich City FC,Everton FC",146740
"Norwich City FC,Newcastle United FC",147002
"West Ham United FC,Liverpool FC",147046
"Newcastle United FC,Aston Villa FC",146747
"Swansea City FC,Sunderland AFC",147059
"Norwich City FC,Aston Villa FC",146855
"Swansea City FC,Norwich City FC",146977
"West Ham United FC,Manchester City FC",147029
"Everton FC,Arsenal FC",146990
"Liverpool FC,Everton FC",147012
