,team,match_count,win,draw,loss,for_goals,against_goal,goal_difference,points
0,Leicester City FC,19.0,12.0,6.0,1.0,35.0,18.0,17.0,42.0
1,Manchester United FC,19.0,12.0,5.0,2.0,27.0,9.0,18.0,41.0
2,Arsenal FC,19.0,12.0,4.0,3.0,31.0,11.0,20.0,40.0
3,Manchester City FC,19.0,12.0,2.0,5.0,47.0,21.0,26.0,38.0
4,Tottenham Hotspur FC,19.0,10.0,6.0,3.0,35.0,15.0,20.0,36.0
5,Southampton FC,19.0,11.0,3.0,5.0,39.0,22.0,17.0,36.0
6,West Ham United FC,19.0,9.0,7.0,3.0,34.0,26.0,8.0,34.0
7,Liverpool FC,19.0,8.0,8.0,3.0,33.0,22.0,11.0,32.0
8,Swansea City FC,19.0,8.0,6.0,5.0,20.0,20.0,0.0,30.0
9,Newcastle United FC,19.0,7.0,7.0,5.0,32.0,24.0,8.0,28.0
10,Stoke City FC,19.0,8.0,4.0,7.0,22.0,24.0,-2.0,28.0
11,Sunderland AFC,19.0,6.0,6.0,7.0,23.0,20.0,3.0,24.0
12,Chelsea FC,19.0,5.0,9.0,5.0,32.0,30.0,2.0,24.0
13,Watford FC,19.0,6.0,6.0,7.0,20.0,19.0,1.0,24.0
14,Everton FC,19.0,6.0,5.0,8.0,35.0,30.0,5.0,23.0
15,Norwich City FC,19.0,6.0,5.0,8.0,26.0,30.0,-4.0,23.0
16,West Bromwich Albion FC,19.0,6.0,5.0,8.0,20.0,26.0,-6.0,23.0
17,Crystal Palace FC,19.0,6.0,3.0,10.0,19.0,23.0,-4.0,21.0
18,AFC Bournemouth,19.0,5.0,5.0,9.0,23.0,34.0,-11.0,20.0
19,Aston Villa FC,19.0,2.0,5.0,12.0,14.0,35.0,-21.0,11.0
