,team,match_count,win,draw,loss,for_goals,against_goal,goal_difference,points
0,Leicester City FC,38.0,23.0,12.0,3.0,68.0,36.0,32.0,81.0
1,Arsenal FC,38.0,20.0,11.0,7.0,65.0,36.0,29.0,71.0
2,Tottenham Hotspur FC,38.0,19.0,13.0,6.0,69.0,35.0,34.0,70.0
3,Manchester City FC,38.0,19.0,9.0,10.0,71.0,41.0,30.0,66.0
4,Manchester United FC,38.0,19.0,9.0,10.0,49.0,35.0,14.0,66.0
5,Southampton FC,38.0,18.0,9.0,11.0,59.0,41.0,18.0,63.0
6,West Ham United FC,38.0,16.0,14.0,8.0,65.0,51.0,14.0,62.0
7,Liverpool FC,38.0,16.0,12.0,10.0,63.0,50.0,13.0,60.0
8,Stoke City FC,38.0,14.0,9.0,15.0,41.0,55.0,-14.0,51.0
9,Chelsea FC,38.0,12.0,14.0,12.0,59.0,53.0,6.0,50.0
10,Everton FC,38.0,11.0,14.0,13.0,59.0,55.0,4.0,47.0
11,Swansea City FC,38.0,12.0,11.0,15.0,42.0,52.0,-10.0,47.0
12,Watford FC,38.0,12.0,9.0,17.0,40.0,50.0,-10.0,45.0
13,West Bromwich Albion FC,38.0,10.0,13.0,15.0,34.0,48.0,-14.0,43.0
14,Crystal Palace FC,38.0,11.0,9.0,18.0,39.0,51.0,-12.0,42.0
15,AFC Bournemouth,38.0,11.0,9.0,18.0,45.0,67.0,-22.0,42.0
16,Sunderland AFC,38.0,9.0,12.0,17.0,48.0,62.0,-14.0,39.0
17,Newcastle United FC,38.0,9.0,10.0,19.0,44.0,65.0,-21.0,37.0
18,Norwich City FC,38.0,9.0,7.0,22.0,39.0,67.0,-28.0,34.0
19,Aston Villa FC,38.0,3.0,8.0,27.0,27.0,76.0,-49.0,17.0
